date,DEUCPIALLMINMEI (CPI) Germany Inflation rate
1/1/2020,105.2175
2/1/2020,105.5338
3/1/2020,105.7447
4/1/2020,105.8501
5/1/2020,105.8501
6/1/2020,105.9555
7/1/2020,105.1121
8/1/2020,105.1121
9/1/2020,105.1121
10/1/2020,105.323
11/1/2020,105.1121
12/1/2020,105.2175
1/1/2021,106.4827
2/1/2021,107.1152
3/1/2021,107.6424
4/1/2021,107.9587
5/1/2021,108.1695
6/1/2021,108.4858
7/1/2021,109.013
8/1/2021,109.1184
9/1/2021,109.4347
10/1/2021,109.9618
11/1/2021,110.1727
12/1/2021,110.3835
1/1/2022,110.9107
2/1/2022,111.7541
3/1/2022,113.9681
4/1/2022,114.7061
5/1/2022,115.7604
6/1/2022,115.7604
7/1/2022,116.2875
8/1/2022,116.7092
9/1/2022,118.8178
10/1/2022,119.6612
11/1/2022,119.8721
12/1/2022,119.3449
1/1/2023,120.5047
2/1/2023,121.4535
3/1/2023,122.4024
4/1/2023,122.9295
5/1/2023,122.8241
6/1/2023,123.1404
7/1/2023,123.4566
8/1/2023,123.8784
9/1/2023,124.1946
10/1/2023,124.1946
11/1/2023,123.6675
12/1/2023,123.7729
1/1/2024,123.9838
2/1/2024,124.5109
3/1/2024,125.0381
4/1/2024,125.6706
5/1/2024,125.7761
6/1/2024,125.8815
7/1/2024,126.3032
8/1/2024,126.1978
9/1/2024,126.1978
10/1/2024,126.7249
11/1/2024,126.4086
12/1/2024,127.0412
1/1/2025,126.8304
