date,DEXUSEU (U.S. Dollars to One Euro)
1/1/2020,1.1098
2/1/2020,1.0911
3/1/2020,1.1046
4/1/2020,1.0871
5/1/2020,1.0907
6/1/2020,1.1259
7/1/2020,1.1488
8/1/2020,1.1831
9/1/2020,1.1785
10/1/2020,1.1768
11/1/2020,1.1826
12/1/2020,1.2168
1/1/2021,1.2178
2/1/2021,1.2094
3/1/2021,1.1902
4/1/2021,1.1965
5/1/2021,1.2146
6/1/2021,1.2048
7/1/2021,1.1821
8/1/2021,1.1767
9/1/2021,1.1765
10/1/2021,1.16
11/1/2021,1.1416
12/1/2021,1.1301
1/1/2022,1.1317
2/1/2022,1.1349
3/1/2022,1.1019
4/1/2022,1.0803
5/1/2022,1.0567
6/1/2022,1.0567
7/1/2022,1.0168
8/1/2022,1.0129
9/1/2022,0.9899
10/1/2022,0.9853
11/1/2022,1.0192
12/1/2022,1.0591
1/1/2023,1.0777
2/1/2023,1.0702
3/1/2023,1.0711
4/1/2023,1.0962
5/1/2023,1.0867
6/1/2023,1.084
7/1/2023,1.1067
8/1/2023,1.091
9/1/2023,1.0672
10/1/2023,1.0565
11/1/2023,1.0819
12/1/2023,1.0909
1/1/2024,1.0899
2/1/2024,1.0793
3/1/2024,1.087
4/1/2024,1.0724
5/1/2024,1.081
6/1/2024,1.0763
7/1/2024,1.0847
8/1/2024,1.102
9/1/2024,1.1104
10/1/2024,1.0895
11/1/2024,1.0621
12/1/2024,1.0472
1/1/2025,1.0356
