date,IRLTLT01DEM156N (Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for Germany)
1/1/2020,-0.313636364
2/1/2020,-0.466
3/1/2020,-0.541363636
4/1/2020,-0.4495
5/1/2020,-0.5165
6/1/2020,-0.434285714
7/1/2020,-0.523043478
8/1/2020,-0.523333333
9/1/2020,-0.524090909
10/1/2020,-0.607272727
11/1/2020,-0.614761905
12/1/2020,-0.6185
1/1/2021,-0.5835
2/1/2021,-0.4455
3/1/2021,-0.364782609
4/1/2021,-0.325
5/1/2021,-0.2235
6/1/2021,-0.288636364
7/1/2021,-0.451363636
8/1/2021,-0.538636364
9/1/2021,-0.362727273
10/1/2021,-0.204285714
11/1/2021,-0.313636364
12/1/2021,-0.384285714
1/1/2022,-0.114761905
2/1/2022,0.15
3/1/2022,0.28173913
4/1/2022,0.746315789
5/1/2022,0.952727273
6/1/2022,1.445
7/1/2022,1.081904762
8/1/2022,1.034347826
9/1/2022,1.795454545
10/1/2022,2.186666667
11/1/2022,2.066363636
12/1/2022,2.085238095
1/1/2023,2.192727273
2/1/2023,2.3705
3/1/2023,2.383478261
4/1/2023,2.359444444
5/1/2023,2.342272727
6/1/2023,2.376363636
7/1/2023,2.456666667
8/1/2023,2.545652174
9/1/2023,2.661428571
10/1/2023,2.823181818
11/1/2023,2.601363636
12/1/2023,2.102105263
1/1/2024,2.174545455
2/1/2024,2.331904762
3/1/2024,2.3495
4/1/2024,2.445714286
5/1/2024,2.519545455
6/1/2024,2.4845
7/1/2024,2.45826087
8/1/2024,2.207727273
9/1/2024,2.167142857
10/1/2024,2.229565217
11/1/2024,2.305714286
12/1/2024,2.178888889
1/1/2025,2.483636364
