date,Open,High,Low,Close,Adj Close,Volume,Return,Volatility,CPI,ZEW_Sentiment,ZEW_Situation,Bond_Yield,EURUSD,Unemployment,GDP
2020-01-01,13233.71,13640.06,12948.17,12981.97,12981.97,1737147300.0,,,105.2175,26.7,-9.5,-0.313636364,1.1098,3.2,-1.91095
2020-02-01,13033.17,13795.24,11724.12,11890.35,11890.35,2231747600.0,-0.08783432494589558,,105.5338,8.7,-15.7,-0.466,1.0911,3.3,-1.91095
2020-03-01,12030.27,12272.99,8255.65,9935.84,9935.84,4826748300.0,-0.17957872476882078,,105.7447,-49.5,-43.1,-0.541363636,1.1046,3.4,-1.91095
2020-04-01,9610.67,11235.57,9337.02,10861.64,10861.64,2507299800.0,0.08908889399394894,,105.8501,28.2,-91.5,-0.4495,1.0871,3.5,-10.69804
2020-05-01,10543.36,11813.14,10160.89,11586.85,11586.85,2221913600.0,0.06463351839287788,,105.8501,51.0,-93.5,-0.5165,1.0907,3.6,-10.69804
2020-06-01,11586.85,12913.13,11586.85,12310.93,12310.93,2754888800.0,0.060616651288704866,,105.9555,63.4,-83.1,-0.434285714,1.1259,3.7,-10.69804
2020-07-01,12391.72,13313.9,12095.11,12313.36,12313.36,1712733000.0,0.00019736609728747013,,105.1121,59.3,-80.9,-0.523043478,1.1488,3.7,-3.18538
2020-08-01,12374.46,13221.82,12365.61,12945.38,12945.38,1260622200.0,0.050054115961253365,,105.1121,71.5,-81.3,-0.523333333,1.1831,3.8,-3.18538
2020-09-01,13037.2,13460.46,12341.58,12760.73,12760.73,1617666600.0,-0.014366481424398357,,105.1121,77.4,-66.2,-0.524090909,1.1785,3.8,-3.18538
2020-10-01,12812.08,13151.8,11450.08,11556.48,11556.48,1555195300.0,-0.09912616770623639,,105.323,56.1,-59.5,-0.607272727,1.1768,3.9,-2.04875
2020-11-01,11602.91,13445.11,11551.36,13291.16,13291.16,1828909000.0,0.13985283398276582,,105.1121,39.0,-64.3,-0.614761905,1.1826,3.9,-2.04875
2020-12-01,13371.66,13903.11,13009.48,13718.78,13718.78,1360090900.0,0.03166654447311911,,105.2175,55.0,-66.5,-0.6185,1.2168,3.9,-2.04875
2021-01-01,13890.22,14131.52,13310.95,13432.87,13432.87,1557733500.0,-0.02106100868665667,,106.4827,61.8,-66.4,-0.5835,1.2178,3.8,-0.95807
2021-02-01,13559.94,14169.49,13518.45,13786.29,13786.29,1438588300.0,0.02596993170111228,,107.1152,71.2,-67.2,-0.4455,1.2094,3.8,-0.95807
2021-03-01,13962.43,15029.7,13868.2,15008.34,15008.34,1794389200.0,0.08493142651581517,,107.6424,76.6,-61.0,-0.364782609,1.1902,3.8,-0.95807
2021-04-01,15053.77,15501.84,15032.52,15135.91,15135.91,1320674600.0,0.008464019611569977,,107.9587,70.7,-48.8,-0.325,1.1965,3.7,11.48325
2021-05-01,15191.79,15568.6,14816.35,15421.13,15421.13,1439213800.0,0.018668580699838244,,108.1695,84.4,-40.1,-0.2235,1.2146,3.7,11.48325
2021-06-01,15513.13,15802.67,15309.44,15531.04,15531.04,1226514500.0,0.007101955175842566,,108.4858,79.8,-9.1,-0.288636364,1.2048,3.6,11.48325
2021-07-01,15624.28,15810.68,15048.56,15544.39,15544.39,1205377400.0,0.0008591997485649125,,109.013,63.3,21.9,-0.451363636,1.1821,3.5,2.59661
2021-08-01,15631.7,16030.33,15492.58,15835.09,15835.09,1034321500.0,0.018528561759407584,,109.1184,40.4,29.3,-0.538636364,1.1767,3.5,2.59661
2021-09-01,15958.41,15981.7,15019.49,15260.69,15260.69,1337021100.0,-0.03694812250097749,,109.4347,26.5,31.9,-0.362727273,1.1765,3.4,2.59661
2021-10-01,15041.6,15781.0,14818.71,15688.77,15688.77,1349471100.0,0.027664928704801767,,109.9618,22.3,21.6,-0.204285714,1.16,3.4,2.0696
2021-11-01,15764.55,16290.19,15015.42,15100.13,15100.13,1635891100.0,-0.038241816735184946,,110.1727,31.7,12.5,-0.313636364,1.1416,3.3,2.0696
2021-12-01,15233.37,15974.79,15060.1,15884.86,15884.86,1354128600.0,0.050663101281375765,,110.3835,29.9,-7.4,-0.384285714,1.1301,3.3,2.0696
2022-01-01,15947.44,16285.35,14952.67,15471.2,15471.2,1662241200.0,-0.026386223270766215,,110.9107,51.7,-10.2,-0.114761905,1.1317,3.2,3.40576
2022-02-01,15620.56,15736.52,13807.28,14461.02,14461.02,1996573700.0,-0.06752347740403378,,111.7541,54.3,-8.1,0.15,1.1349,3.2,3.40576
2022-03-01,14404.22,14925.25,12438.85,14414.75,14414.75,2772366100.0,-0.0032047657673835357,,113.9681,-39.3,-21.4,0.28173913,1.1019,3.2,3.40576
2022-04-01,14447.78,14603.44,13566.2,14097.88,14097.88,1651641200.0,-0.02222755642472837,,114.7061,-41.0,-30.8,0.746315789,1.0803,3.2,0.81829
2022-05-01,13996.82,14589.45,13380.67,14388.35,14388.35,1803058400.0,0.02039441989478156,,115.7604,-34.3,-36.5,0.952727273,1.0567,3.2,0.81829
2022-06-01,14478.37,14709.38,12618.68,12783.77,12783.77,1720357100.0,-0.1182424537415617,,115.7604,-28.0,-27.6,1.445,1.0567,3.1,0.81829
2022-07-01,12627.66,13515.03,12390.95,13484.05,13484.05,1515787000.0,0.05333110784040048,0.3626206568935567,116.2875,-53.8,-45.8,1.081904762,1.0168,3.1,1.37609
2022-08-01,13471.2,13947.85,12758.44,12834.96,12834.96,1314537200.0,-0.049334807623558394,0.35479406852265727,116.7092,-55.3,-47.6,1.034347826,1.0129,3.1,1.37609
2022-09-01,12713.75,13564.83,11862.84,12114.36,12114.36,1606290400.0,-0.05778117204065329,0.3079259907927877,118.8178,-61.9,-60.5,1.795454545,0.9899,3.1,1.37609
2022-10-01,11951.84,13307.09,11893.94,13253.74,13253.74,1403077100.0,0.08988825095492912,0.308148446323974,119.6612,-59.2,-72.2,2.186666667,0.9853,3.1,0.23912
2022-11-01,13344.85,14571.66,13022.64,14397.04,14397.04,1461310400.0,0.0827428531428169,0.3121802156617507,119.8721,-36.7,-64.5,2.066363636,1.0192,3.1,0.23912
2022-12-01,14543.8,14675.84,13791.52,13923.59,13923.59,1127793700.0,-0.03343810594291742,0.30970241564286083,119.3449,-23.3,-61.4,2.085238095,1.0591,3.1,0.23912
2023-01-01,13992.71,15269.71,13976.44,15128.27,15128.27,1263845700.0,0.08298065494247478,0.3195304031388142,120.5047,16.9,-58.6,2.192727273,1.0777,3.1,0.20287
2023-02-01,15125.12,15658.56,15107.83,15365.14,15365.14,1321833900.0,0.015536128261731617,0.3165542410238898,121.4535,28.1,-45.1,2.3705,1.0702,3.1,0.20287
2023-03-01,15399.91,15706.37,14458.39,15628.84,15628.84,2329276000.0,0.017016618270173887,0.3160502721551378,122.4024,13.0,-46.5,2.383478261,1.0711,3.0,0.20287
